                         REPORTE DE INFRACTORES DE TRANSITO
=======================================================================
DNI          INFRACTOR                                        PLACA
-----------------------------------------------------------------------
44346371     ALFARO_ALFARO_ERICK_BRUNO                        L8F-459
89941095     ARCA_LARRIEGA_LUCERO_YLIANA                      R8O-904
73567806     ARCA_SANCHEZ_MAGALI_BEATRIZ                      A7Y-833
71578206     ARROYO_TOMASICHE_NATALIA                         G7Z-721
35297848     ASTETE_CHANG_GUIDA                               O7D-970
54447051     AVILA_DEL_CASTILLO_ANNIE                         U5L-205
73972114     AVILA_MARTEL_JAIME_MANUEL                        J2M-606
70414420     AVILA_REYES_TATIANA                              U5T-348
21621497     AYALA_CASTILLO_ERICKA_Ofelia                     R5I-860
16477908     BACA_CAMACHO_MILAGROS_NATALIA                    W7C-957
15559308     bravo_cortes_janet_flor                          X6O-905
16925690     CABRERA_TORO_FANNY                               F3F-478
29989682     CAMACHO_PAIRAZAMAN_Ydali_Lucero                  B1J-773
68310808     CANO_POLO_MILAGROS_ISABEL                        I3A-223
52003695     CARBAJAL_SALAS_MAGDA_ZKENIA                      H8S-849
52002275     CASANOVA_ZEGARRA_MARITZA                         C0S-417
81799482     CERNA_CERNA_CINTHIA                              Y0K-784
51929951     CHAVEZ_BERROCAL_JOHAN                            M8W-853
79672079     CONTRERAS_CHANG_JOHANA_CINTHIA                   R7U-941
99950484     CORTES_CORTEZ_RAUL_ALEX                          Y6I-680
12270502     CUEVA_FUENTES_CINTHIA_DELIA                      P7T-999
35683701     DIAZ_MOYA_ELIA_ANNIE                             D5W-953
60335381     DIAZ_TANG_ENRIQUE                                E6T-667
54141214     DURAND_MIRANDA_MIGUEL_JUAN                       J7Y-327
82031355     EGUSQUIZA_BERROCAL_DORIS_NANCY                   J0J-790
81528434     EPIQUEN_AVILA_ENRIQUE                            D6F-465
35671623     Epiquen_Yep_Guida_Victoria                       V4E-749
86718074     ESCALANTE_ROJAS_INES_ADRIA                       L4O-783
43454884     ESPINOZA_CHANG_SHIRLEY                           P6Z-734
77763722     FARFAN_SALAZAR_MARGOT                            Q4P-612
27864822     figueroa_Medina_madeleine                        R5C-239
67185679     FLORENCIO_CORONADO_ALONSO                        S7F-983
24859596     FLORIAN_CUBA_CHRISTIAN                           A8P-118
37080813     florian_valderrama_jose                          O9W-355
79766395     FUENTES_ESCALANTE_PATRICIA_ELIZABETH             N6D-256
73818744     FUENTES_GAMARRA_HUGO                             U5N-536
54665716     GONZALES_GAMARRA_GIOVANA_KARINA                  D2V-055
69252518     GORDILLO_SANCHEZ_RONALD_JUVENAL                  P7I-760
32244565     HENRIQUEZ_PAREDES_PAUL_RAFAEL                    J1E-736
15115705     HERNANDEZ_CorraleS_Guillermo                     Y5F-449
29833157     HIJAR_lam_MARTIN                                 S2N-896
64532449     INFANTES_MERCADO_LUIS_WALDEMAR                   K8R-348
49927087     INGA_PALOMARES_ERIKA                             G7B-252
90467829     IPARRAGUIRRE_PEREZ_NICOLAS                       C9H-661
77367073     JAUREGUI_DEL_CASTILLO_VICTOR_RICARDO             N7K-403
81485316     JUSTINO_MARTINEZ_ENRIQUE                         J5T-691
63291514     LAU_ZAVALETA_YDALI_ELIA                          L3W-411
12443643     lee_serrano_rosario                              R8H-409
34248357     leyva_landeo_nancy_sonia                         S5E-231
50200823     LEYVA_SAM_DIANA_DELIA                            H1E-399
34976629     lozada_arguedas_felicita_valentina               I0Y-720
75348522     LOZADA_FORZANI_DELIA                             E1L-705
27268323     LOZADA_IBEROS_HELI_BLANCA                        J0Q-121
39544560     luna_VARGAS_waldemar                             N4J-043
35912665     MARTINEZ_CRUZ_EVERT_RONY                         A6E-125
75945248     MEJIA_RODRIGUEZ_INES_VALENTINA                   K6X-977
69494747     MENDOZA_ROMERO_VIRGINIA_YDALI                    J8D-125
66849703     MERCADO_CORONEL_ELIA                             B4N-777
80310768     MINAYA_BERROCAL_HELI                             O2F-523
87495937     MORALES_PASQUEL_KARIN_MARIBEL                    M5G-669
31107104     MOSCOSO_ARIAS_FIORELLA                           O3T-110
86429854     MOSCOSO_LAURA_JANET_VALENTINA                    M5U-987
58992942     NARVAEZ_CASTILLO_JESUS_RAFAEL                    H8M-598
80457845     NORABUENA_MOYA_HECTOR                            W0C-131
68303148     PATINO_BOLANOS_DELICIA_VIRGINIA                  I0Y-720
39244942     PENA_SUAREZ_GLENDA_MARGOT                        S3D-133
88854166     PINTO_ROJAS_JUVENAL_FRANCISCO                    L3N-150
42956681     POMAJAMBO_Egusquiza_PAUL                         E0L-862
97849227     PRADO_ESPINOZA_MILAGROS                          I0K-077
88167677     PRADO_VERA_JUAN                                  B4C-100
13628871     Quiroga_HERNANDEZ_SILvana_zkenia                 F3E-797
48878256     RAFFO_CORONADO_ROLANDO                           G2R-979
48450395     RAMIREZ_ASTETE_KARINA_ESTEFANIA                  H6H-085
30441350     RETAMOSO_SALAMANCA_DELIA_MARITZA                 M9Z-497
89314225     RIOS_DURAND_CARLOS_EDILBERTO                     C3A-423
28820944     rios_ZAMORA_ines                                 H2K-127
84186239     RIVERO_CORONADO_HECTOR_ALONSO                    T6W-978
49428502     RIVERO_CORTEZ_WILVER_ALFONSO                     C0A-114
13219606     RODRIGUEZ_moreno_blanca_OFELIA                   M2Q-712
25518120     rondon_cabrera_alexander_ADOLFO                  U1X-768
60784914     RUIZ_ZEVALLOS_WALTER_RONY                        C6Q-548
47528229     SAAVEDRA_GONZALES_WILMER                         T8Y-354
19963454     salamanca_cabrera_nestor_evert                   H8A-390
30046639     Salamanca_Vega_VIRGINIA_MARTHA                   S3F-021
26522329     sanchez_del_castillo_fiorella_ROSARIO            W7R-114
82870470     SEDANO_RETAMOSO_ELIA_YOLANDA                     K0H-387
53374153     SERRANO_IBEROS_FRANCISCO                         R2T-476
27185429     solis_CHUNG_Rolando                              U3F-754
53853385     SOLIS_NARVAEZ_MARIA_MADELEINE                    O5L-856
87282766     SUAREZ_CHANG_GLORIA                              S1D-093
32090869     SUELDO_antezano_LUIS_Jesus                       L4B-291
71832810     SUELDO_SEDANO_ADRIA                              O4X-500
74325123     TANG_MOSCOSO_JOHANA                              V9F-655
79641328     TOKESHI_GUEVARA_JAIME                            B4R-105
73357516     TRIGUEROS_JUGO_LUZ                               G0B-604
51395324     TRIGUEROS_PORTUGAL_ARTURO_FAUSTO                 K4F-319
96693273     VALDERRAMA_BERROCAL_EVERT                        B9X-420
15029228     VALVERDE_MAEIREIZO_MELVIN_JAIR                   C0P-895
19568447     VEGA_SORIA_Henrry                                T5L-371
45043076     Vega_Vilcara_Carmela_TERESA                      R1T-735
44188994     VILCARA_YALLICO_magali                           B1J-773
47844324     VILCA_LEE_NESTOR_HUGO                            M9Z-497
85501710     VIZCARDO_SINCHE_MARIBEL                          N2C-590
64178096     VIZCARRA_CARBAJAL_IVAN_FAUSTO                    B7V-643
31205866     VIZCARRA_MONTERO_JAIR                            R7N-113
38862473     WONG_MAEIREIZO_BEATRIZ                           S6Y-726
16136330     YEP_PRECIADO_richard                             E3U-231
63736112     ZAMORA_ZAVALETA_RONAL_MANUEL                     K0D-676
12858682     Zarate_Perez_Alexander                           T5L-371
48528209     ZAVALETA_CORONADO_FELICITA_ELOISA                T9L-709
36079131     zavaleta_vilca_ericka_eleonor                    I0W-872
50201756     ZEGARRA_PENA_CARMELA                             K5K-595
